user,tweet
williwilliwin,"akhirnya double kos, satu di Pleburan satu di Tembalang, gara2 hujan terus tiap malem"
admasyrff,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
hotcityx,@TahuGenjot7 Asa marales nya hujan teh hawa na wkwkw
iymamuarif,"@Kiridaren @bibliobuku Aku, kopi dan buku adalah ibarat akar, dedaun dan ranting yang saling menyatu dlm keadaan hujan mahupun dibawah cahaya matahari menyinar ✨ 
.
Memberi jiwa dalam menyelam cerita yang sedang dibaca.."
Jiminjiaah,Cuaca sekarang kann tetiba panas terikk dlm terikk boleh hujan lebat lepas tu terikk balikk . Hebat kuasa Allah swt 💜 https://t.co/W3X1GGaUna
JiangTera10,"aku mintanya huja $, hujan rupiah
ke aku dan orang orang yang aku sayang https://t.co/T6cvVq6Rkh"
anangestup,"Hingga akhirnya hujan datang, gak reda2, lalu kami putuskan untuk pulang hujan2an."
christinaaa7_,@itsYoursAwaaa wahh skrg masih hujan? di aku udah berhentii
__qadra,"RT @nafirinetapa87: terkadang mendung datang seiring dengan awan, terkadang datang bersama angin kencang. terkadang hadir seketika dan meng…"
Ty4z5,"RT @AbidinBoryta: Sobat Tweeps,mohon do'a nya ..😇🙏
 Semoga cepat surut. Bila hujan terus menerus hari ini ,sudah dipastikan Makassar lumpuh…"
wellylie99,Pagi jem 5 hujan lebat. Bulan desember ini curah hujan nya lbh tinggi di banding bln nov.. tetapi polusi udara bln 11 jauh lbh rendah di bandingkan di bln 12 yg curah hujan nya lbh tinggi khusus jakarta aja. Sebab nya apa? Akibat nya sdh bs di prediksikan sprti apa sih.
anouniverse,"@schfess nihh nder, pas bgt aku lagi kejebak hujan sii wkwkwk https://t.co/ucqAUkzWY5"
Sitihas__,Da mw hujan agi 😓
OlamisOj,RT @ayamgefreak: Pengen curhat perihal alur orderan Gojek ketika sedang hujan atau pascahujan kenapa susah banget dapet pengemudi dari sisi…
Qfly_Mu,"RT @WwTrisari: Diluar hujan deras kita yang di kamar masih asyik rebahan nonton drakor with indihome nih, semoga hujan segera reda dan air…"
nissaeristya,"RT @JogjaUpdate: PemKab Sleman menetapkan status tanggap darurat bencana banjir lahar hujan gunung Merapi mulai 2 - 15 Desember 2021. 
@kab…"
sword_way,"RT @Marimar_Aauw: Hujan di Jakarta separah tahun² sebelumnya. Kalau deras bisa sampai ga kelihatan jalannya, kalau lama bisa seharian

Di l…"
SBrooto,"@xslfnx Maap ga bisa bu, semuanya udah on skedul

*Hujan"
raraauurr,Karena hujan mulu gue mau hibernasi
naomiputri_,"RT @ZOO_FESS: Zoo Berani melewati hujan untuk pulang, ntar balik lagi dia:"")

https://t.co/KjirO5TZmm
https://t.co/ixffn5omZC"
HANEUL93xMS,"RT @JEONSJK97xMS: Yang sering bilang ""langit bisakah kau turunkan hujan"" hmm mamam tuh hujan badai angin ribut banjir🙂//"
myjinniie,"Selamat siang moots, btw di dom kalian hujan gak?"
ekoyuniarto,"RT @tatakujiyati: Hujan turun, sumur resapan efektif bekerja. Sudah 1 jam, tak ada limpasan air. Lokasi: duri kosambi, cengkareng, Jakarta…"
RiskaRosmalia3,"Hujan dr semalam sampai sekarang gak ngebuat gw kehilangan signal jaringan doooonk , streamingan, drakoran ngebuuuttt 

#UnlimitedBisaSemua https://t.co/B46AJmSMu8"
cutiepieloey,oh jd gitu... dulu kata temen jancok itu singkatan hujan coklat trs w percaya😂 https://t.co/xMKJvD5j9G
nugros_id,"Hujan curang ,beraninya keroyokan"
dhinasetya_,ke kampus pada hari hujan adalah pilihan yang salah karena seperti kota mati . hahahaha
ildanrfdilh599,@bang_saaad Adakah? Haha apalagi musim hujan enak2ny makan pedis2 ini😂
itazzirunkin,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
KodakMan33,@De_wife1 seperti hubungan ini. . . terasa rindu bila hujan turun
miranurhasmira,@gotthatsomethin hujan terus bah
Restutwiub,RT @dedy_ask: Bukan Hujan penyebab #banjir Mampang ternyata ini 🙈 https://t.co/Lj6fz5P79u
tawnieemoo,"@talayddicted morning, hujan😭😭"
sobatanies2024,"@tatakujiyati @aniesbaswedan Keren nih, semalaman hujan biasanya liat genangan ditegongan di seberang cempaka mas perapatan bypass cempaka putih, hari gini udah saat."
calliesta,"Hujan Voucher Blibli Histeria 12.12 dari ellen buat kamu! #BlibliCariTeman1212
Ambil vouchernya dan ajak teman untuk dapetin CASHBACK 100% hingga JUTAAN RUPIAH, klik link ini yuk https://t.co/b5wQ7W2LC1"
suchicha84,@BejoNuswantoro Sudah hujan ya bang
StellaRdnwu,Alhamdulillah 🍁 hbs sholat subuh olahraga jalan pagi dg sepupu ke bukit pantai Tateli menikmati keindahan alam ciptaan Allah SWT 🙏♥️ ...hujan besar semalam jadi ada air tergenang mau mendaki bukit 😇 https://t.co/2dyncnwJJe
Thalhahrosdi,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
POTRETNEWSriau,Hujan tak Halangi Bupati Bengkalis Resmikan Festival Budaya Bahari Pantai Indah Selatbaru Tahun 2021 https://t.co/z80FlAMPoW
yavanniest,@convomf kan emg lg musin hujan
Nathan_Jkt,"RT @ts_tradisional: Selamat pagi masslovers
Pagi ini Hujan nya merata yah #Jakarta 
Sudah waktu nya musim hujan
Yang mau kerja tetap semang…"
Dandy_Ach,"RT @sicolox: Langit...

Bolehkan kau tidak menurunkan hujan ketika aku banyak cucian, aku cape bolak-balik jemuran"
jwoo19_,"beda nya kurir je ente sama s1c3p4t
Je ente : barang ydah sampe, silahkan ambil di gerai 
S1C3p4t : mbak barangnya udah nyampe, nanti kalo g hujan saya antar"
RamaKomaruzamn,Hujan hujan gini enaknya diselimutin kekayaan
Candraasmara85,"RT @RajaRizky83: @Candraasmara85 Semoga Hujan Deras Nonstop
#JakartaRasaPuncak"
MakanApaAj4,@evii_sofiany rata2 daerah nipa2 itu klo hujan deras baru lama langsung naik air.apalagi skrg yg sdh 2 hari hujan trus.tinggi skali mi airnya dirumah ta?
fazafadlian,"RT @GojekOnTwitt: Banyak yang tahan performa
Banyak yang gak pentingkan performa

Yang tahan performa pasti milih off karena orderan acak-a…"
wuoozii,"@junnyeok 1. Dandelions - Ruth B 
2. Still friends, not lovers - slchld
3. Hujan - Jourdy Pranata
4. Lost Boy - Ruth B
5. Sad song - we the Kings

plis kalau gak bisa semua lu pilih aja yang penting dandelions harus kudu wajib"
princessyeoleo,@kihyunie_kh Ya bisa aja. Buat menerjang hujan dan banjir bisa bolong :(
odongisme,"RT @myXL: Dari kemarin hujan terus, bawaannya jadi mager mau ngapa-ngapain. Bisa nih cheating makan mie rebus"
strawbenz,smg nanti sore nggak hujan:((((
songbledek,"RT @BPBDJakarta: UPDATE INFO PRAKIRAAN CUACA DKI JAKARTA &amp; SEKITARNYA
Selasa, 07 Desember 2021

Peringatan Dini : Waspada potensi hujan dis…"
Muharan37670208,"Waktu hujan turun adalah saat mustajabnya doa, artinya doa semakin mudah terkabulkan, insyaAllah.. Maka perbanyaklah berdoa. Mengharap Ridho Allah"
SyahirYusoff,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
heruakbarr,Adem bener dr semalam hujan sampai pagi ini.
heyimputrii,"pliss berhenti hujan dongg, nih air udah sampe selutut😓"
Bagindo47562689,"RT @CNNIndonesia: Sulsel Diguyur Hujan, SAR Evakuasi Warga dari Banjir Makassar https://t.co/WijN0s2Wf8"
tobepri,@gevwIap lagi musim hujan juga ye kan dingin
n4makuirfan,"RT @tatakujiyati: Hujan turun, sumur resapan efektif bekerja. Sudah 1 jam, tak ada limpasan air. Lokasi: duri kosambi, cengkareng, Jakarta…"
Gayugagah1,"RT @savirapspt99: Reminder :
It's just a bad day, not a bad life. Don't be sad. Akan ada pelangi setelah hujan, akan ada bahagia setelah ke…"
ekoyuniarto,"RT @BPBDJakarta: UPDATE INFO PRAKIRAAN CUACA DKI JAKARTA &amp; SEKITARNYA
Selasa, 07 Desember 2021

Peringatan Dini : Waspada potensi hujan dis…"
Florendarc,"BAGI2 BOXER GRATIS !!! Coba cek ini, deh: ""Celana Pendek Boxer Unisex Free Kaos Kaki 1pcs"" Rp0 di toko trubrite Tokopedia. Bisa Bebas Ongkir, lho. https://t.co/mTHlCqUSHw hujan"
azriani,"setelah hujan lebih dari 48 jam, akhirnya langit sedikit cerah ⛅️"
zarn_G,@bahruddinbekri Musim hujan pun ye gak Dingin
Stakof,"Apalagi Risma ini orang Jawa yang kental mitologinya.

Sewaktu ada musibah (hujan angin, misalnya), lazim jika berdoa sambil menyimbolkan “mohon angkat kembalikan ini” dengan membalikkan tangan.

Seperti Anda memberi sesuatu, namun tidak diterima, tangan mereka begini:

✋🏻🤚🏻"
miyachael,"@coraliabali ya,semoga🙏
awan awan yang hujan tinggal di sini hari ini😁"
this_is_good,"RT @BasoSurga: ╔═════ ∘◦ ☆ ◦∘ ══════╗

  — dan hujan pun berhenti

╚═════ ∘◦ ❉ ◦∘ ══════╝

Genshin!AU // Chilumi // College!AU https://t.co…"
kumbanggmrckela,"@surasujaya @kangadisodik @b41m_b14ck @Mick_Zya @ilbanditomilano @AdamVelcro @luvalwaysblu8 @KatonNgaranKula @Amiliophile1 @julietz_moe @tia_realname @_Qirani__Ayara @A1ki4_ku5 @ijotjabriah @mylovelyb1e @dd9966 Teu lieur kumaha ai, hujan ngaririncik wae, mana tiyis ah😀"
rillakuwma,"RT @BasoSurga: ╔═════ ∘◦ ☆ ◦∘ ══════╗

  — dan hujan pun berhenti

╚═════ ∘◦ ❉ ◦∘ ══════╝

Genshin!AU // Chilumi // College!AU https://t.co…"
Polres_soppeng,"Kondisi Air yang meluap akibat intensitas hujan yang tinggi dipemukiman warga dan jembatan gantung Walimpong Desa Barae Kec. Marioriwawo Kab. Soppeng, Selasa 07 Desember 2021.
Berdasarkan pemantauan 

Tetap Waspada Banjir, Salam Presisi. https://t.co/ea7aBWxM1w"
Zamrud021,"RT @NovalAssegaf: Bila hati telah keras membatu, nasihat tak lagi berguna baginya
Seperti tanan tandus, air hujan tak berguna baginya"
ah_apalah,RT @Nicho_Silalahi: Ucapan dan tindakan harus sejalan. Gue janji mau datang hari ini ya mesti hujan badai harus ditempuh. Emang cak Djancuk…
anonimalicious,Hujan di Makassar lagi lucu lucunya…
FahraniAkbar,"Musim hujan, rindu mulai membasahi hati yang gersang. Sayang kamu telah menjadi usang dan terlanjur asing.."
SOOJUNG94xMS,"RT @JEONSJK97xMS: Yang sering bilang ""langit bisakah kau turunkan hujan"" hmm mamam tuh hujan badai angin ribut banjir🙂//"
andrianinovindh,"Manami injo anak Makassar yg suka bilang ""langit bisakah kau turunkan hujan"". Ngappai dikasih mko hujan toh setang"
damdadidumdum,RT @Hrist_A: Ini hujan bikin kepikiran untuk berkembang biak mulu.
19riskasodam,Cuacanya masih sma dingin mu tahun baru sma Natal pasti hujan trus
Syamsud76579252,"RT @korantempo: Saat Gunung Semeru meletus, warga tengah berdiam di rumah akibat hujan mengguyur. Mereka berlarian menyelamatkan diri setel…"
haloinisekar,Lho kok hujan
hyemhyemuw,"Kepikiran

Bu rene ketawa gak yh liat makalah plh gue tentang wortel gue yg hanyut terbawa arus hujan"
cutskay,"Belum keliatan nih tweet “hujan-hujan gini, enaknya tarik selimut lg” atau “kasur magnetnya kuat bgt, bikin mls bangun” 
wkwkwkwkwkwkwkwwkkenggaklagiwkwkwkwkwkkw"
kabarmalang,"RT @adm_getradius: Waspada, siang nanti diprediksi akan turun hujan ringan, selalu jaga kondisi yaa

#radius #trafficmalang #infotraffic #t…"
7lRiv3rSid3,"RT @thedrakbluesky: #KM50JiwaRevolusiAkhlak 
#KM50JiwaRevolusiAkhlak 
@FR33D0ML4ND1945
@Jatayu_45
@Cint4N
@SayRi31180709
@bimbie141
@Ardi01…"
yaelahhana,"RT @sicolox: Langit...

Bolehkan kau tidak menurunkan hujan ketika aku banyak cucian, aku cape bolak-balik jemuran"
Hxymi_,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
lullathings,"Udah nonton Secret Royal Inspector And Joy ep9 ?

#SecretRoyalInspectorJoy #SecretRoyalInspectorJoyEp9 #kdrama #fanart #kdramamerch #taecyeon #kimhyeyoon #extraordinaryyou #vincenzo
Kepencet 
Simon
Hujan
#HARUTO https://t.co/yA6qoCuwgJ"
macanutara_,"RT @senoadjie70: JAKET HOODIE PARKA COMBI. Bahan taslan waterproof premium -&gt; hujan ringan, furing dakron, nyaman dipakai. Jahitan kuat rap…"
Itmei5,"RT @miftasyap: Hujan"" enak.nya ngapain iya ?
#SANGE_AAAAAAAAAAH #kontolin #kontolngaceng #kontolkuli #chatseks https://t.co/k4F2qI1sqS"
dagangkorea,"sharing 🌻 Admin ramah parahh, kayak temen sndiri 
🌻 Nyelem teruss sampai wl ketemu ☀️ 
🌻 freebies melimpah ~   
📍 Bogor kota hujan 🌦️

L1nk di rep @SYNAA95 ‼️"
puddinggyukaku,"hujan udah berhenti, tunggu banjirnya surut terus siap-siap pulang kerja bakti bersihin rumah :)"
kabarmalang,"RT @getradius_id: Waspada, siang nanti diprediksi akan turun hujan ringan, selalu jaga kondisi yaa

#radius #trafficmalang #infotraffic #tr…"
evii_sofiany,"@MakanApaAj4 Sy Asabri Daeng, belakangnya STIBA. Itumi Daeng krn sdh 3 hari ini hujan tdk reda2."
GTVID_News,"Banjir di kawasan Badung, Bali, meninggi dengan cepat hingga menyebabkan warga kesulitan menyelamatkan diri. 9 orang warga termasuk bayi 10 bulan terjebak di antara kepungan banjir setinggi lebih dari 6 meter. KSC

#GTVNews #BuletiniNewsPagi #Hujan #Banjir #Bali #Evakuasi https://t.co/PxMaEAasP1"
Metro_TV,"RT @medcom_id: Masuk Musim Hujan, Waspada Aquaplaning https://t.co/JowMgeKfWf via @medcom_id #cekdulumedcom #carabarumenikmatimedcom"
tony_sulton,@ryananugrah1991 @Nob_Nobitaa beuuuh kuncen cadas pangeran &amp; pawang hujan mandalika mah lewat
DistanbunJateng,RT @dispertanpml: @Girli_Comal @DISHANPAN_JTG @DistanbunJateng @DPUTR_Pemalang @dpusdatarujtg @bpsdapc @UPPU_VIII_COMAL @PUPR_SDA_PENA Halo…
javamevet,"@longtimenoci kenaa, pas sabtu hujan abu vulkanik gtu"
lalawincityx,alhamdulillah udh ga hujan. soalnya disini dah pada banjir😭
arteumosphere,"RT @mks_fess: langit, bisakah kau turunkan hujan?

makan itu hujan tabe"
natyjahnyrk,"bengong liat hujan, kayak indah bgt rintik2"
alcoholnn,"RT @kochengfess: Mohon pendapatnya, cuaca hujan trs panas ga stabil bisa berefek buat kcg! jdi malas atau gamau makan ya? (Pict pemanis) ma…"
DistanbunJateng,"RT @kompastvjateng: Muantabs... 60 ton kacang tanah petani di Jateng di ekspor ke Malaysia... joss

Sophia Latjuba Kepencet Rumini PPKM Nat…"
abiassalafy,"Jangan Biarkan Hujan, Menghapus Jejak Mu.... hananurdin"
slythrIngurl,"RT @itsjjknunaa: saat hujan berhenti, kau yg menyinariku. cahayamu adalah satu - satunya yang menahan dingin — kim taehyung ost

NANGIS BAN…"
BryanArsyad3,"RT @tatakujiyati: Hujan turun, sumur resapan efektif bekerja. Sudah 1 jam, tak ada limpasan air. Lokasi: duri kosambi, cengkareng, Jakarta…"
nnurulamalia,"RT @BPBDJakarta: UPDATE INFO PRAKIRAAN CUACA DKI JAKARTA &amp; SEKITARNYA
Selasa, 07 Desember 2021

Peringatan Dini : Waspada potensi hujan dis…"
AziekZaelani,@RudyRoedyanto Yg jelas d indo lg musim hujan pasti dingin jadi ga usah jauh jauh k eropa buat pake baju winter 😝🤣
Reruuru,dari semalem sampe sekarang masih hujan 🌧️
cahyaazdarany_,@kimmnjng Iyanih hujan gak berenti² udah 3 hari kek nya. Tapi sekarang udah agak reda. Di tempatnya ayii gimana?
febbylorentz,"@PRFMnews Saya peduli sama polisi tidur,klo malem trus hujan suka saya selimutin pa,kasian…."
hgrelnikov,@AyanaRinami Awas hujan
skyyone_,"langit.. tolong turunkan hujan uang, aku ingin co syopi tanpa liat harga :)"
6reezeee,@yeroxzv Mending rebahan smbil menikmati dinginnya hujan~
kagita__,"RT @sicolox: Langit...

Bolehkan kau tidak menurunkan hujan ketika aku banyak cucian, aku cape bolak-balik jemuran"
dimasarr11,"Iya, selamat pagi juga dari waktu indonesia bagian selatan, alias uda siang camtipp..
Bentar lagi mam siang @Y_ChikaJKT48
Ada kegiatan apa hari ini? Disitu hujan?
#ChikChat"
DraftAnakUnpad,- hujan mulu dah
cronouzo,alhamdulillah berhenti hujan
arscyju,"RT @savirapspt99: Reminder :
It's just a bad day, not a bad life. Don't be sad. Akan ada pelangi setelah hujan, akan ada bahagia setelah ke…"
cronouzo,"semua yg dipanikkan diundur karena hujan, tiba tiba berhenti hujan. selamat kena prank, dadah dadah ke atas ada cctv"
DetaLewar,@arinatanaels @AyamSegar3 @denny_dsp89 @KakaKeyo @ampyanina @RyaWiedy @theashare @MsHamtaro30 @AntoniusCDN Efek hujan 😂😂😂
Angel94088465,"Capek! Hujan mulu daritadi, mana info lambat banget masuk, pasrah sama nilai yang masuk"
RadioElshinta,"Dr. Danang Sri Hadmoko, :

Kegempaan bukan satu-satunya yg menyebabkan erupsi, faktor ekternal (cuaca/curah hujan) jg berpengaruh. Ketika ada air hujan yg meresap menyebabkan adanya efek termal &amp; tekanan, hal itu yg menyebabkan erupsi. #SimakElshinta"
spacegurll_,"Yang slalu bilang ""langit bisakah kau turunkan hujan""
Sekarang apa? Banjerrr dimana2 :v"
Samehada3791,"@AdjieSanPutro ""Hujan Turun"" 😭"
alippIkhwan,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
custom_ok,@scchrnn hujan?
chicken66nuggie,"RT @ZOO_FESS: Zoo Berani melewati hujan untuk pulang, ntar balik lagi dia:"")

https://t.co/KjirO5TZmm
https://t.co/ixffn5omZC"
NysaKim,"Musim2 hujan niii mmg kena beli satu lah. Senang ubah tempat jugak ni. kalau tak hujan boleh letak kat luar, ada lah extra tempat sidai baju. Bila hujan je bawak masuk dalam and sidai yg mana tak kering lagii.

Rm50+ for this compare spent duit kat dobi tiap minggu, worth tak? https://t.co/pLmtLDTtba"
YangChaeAh,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
tempodotco,"RT @korantempo: Saat Gunung Semeru meletus, warga tengah berdiam di rumah akibat hujan mengguyur. Mereka berlarian menyelamatkan diri setel…"
korantempo,"Saat Gunung Semeru meletus, warga tengah berdiam di rumah akibat hujan mengguyur. Mereka berlarian menyelamatkan diri setelah melihat abu Semeru mendekati perkampungan. #KoranTempo https://t.co/uKsbLDE1ib"
IskaNdar0507,"Hujan n panas sudah jd makanan sehari hari buat kami para pencari rezeki dijalanan.
Asal anak istri tercukupi n dapur tetap ngebul.
Keep stroong 💪💪💪"
sibulanhitam,"RT @sicolox: Langit...

Bolehkan kau tidak menurunkan hujan ketika aku banyak cucian, aku cape bolak-balik jemuran"
Oyenbarbarngab,"Aku mencintaimu, seperti hujan dibulan desember, awet."
Ananta_Yerico,@BCD_Jack Mana semua itu yg suka minta hujan?! Itue banjir mi setang
PUjungloe,"Brimob Polda Sulsel Evakuasi Korban Banjir di Kec. Biringkanaya

Makassar, Sulsel - Curah hujan di Kota Makassar tak kunjung Redah, hal ini membuat beberapa di wilayah Kota Makassar terendam banjir seperti yang terjadi di Kel. Katimbang Kec. Biringkanaya Kota Makassar. https://t.co/9r7edKgkBO"
onyourm_ala,yaAllah semoga ntar malem hujan
cocoopandan,@TXTdariHunter Panas/hujan
faamike,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
DKIJakarta,"RT @BPBDJakarta: UPDATE INFO PRAKIRAAN CUACA DKI JAKARTA &amp; SEKITARNYA
Selasa, 07 Desember 2021

Peringatan Dini : Waspada potensi hujan dis…"
nayajangis661,"RT @adriCB8: Demi Warga Jkt agar tdk banjir &amp; tdk ada genangan ketika hujan,Gubernur beserta jajarannya berikhtiar membangun sumur2 resapan…"
sanisun_,Harusnya tadi pagi 5k tp hujan shay.... Yaudah bobo lagi aja. Kamis aja 5k wkwkwkwk nanti sore mo pilates aja i really need a good stretching class
ARSITEKGRAY,"@NING2RAR3 Hadir! 
Stok tebakan lucu habis krn hujan, ning"
MakanApaAj4,"@evii_sofiany yg tembus daya di?mmg daerah rawan dsitu,apalagi skrg,semoga berhenti mi hujan biar bs surut air smua"
DitaMeii,"Kebiasaan banget pas niat keluar hujan, jadi percuma membuang air di rumahku buat mandi huhu"
reliablegiant,"RT @ZOO_FESS: Zoo Berani melewati hujan untuk pulang, ntar balik lagi dia:"")

https://t.co/KjirO5TZmm
https://t.co/ixffn5omZC"
falling_fleur,"@ichachanun Oh iya semalem ujan seharian, tadi pagi juga hujan :"" Pasti baniir sih.. 

Yaoloh jangan lupa minum obat dan minum air terus ya ;"""
jahemerahsuper,"RT @alfamart: Semangat pagi!! 🌼🌞
Pagi hari Hujan tapi tak menyurutkan semangat Shalma untuk bermain sama Kamu nih di #KuisAlfamart terbaru…"
pihjuuu_,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
al_fianna,Shining shimmering splendid walau paginya hujan-hujanan https://t.co/fqveC42W0k
Aryaadi67273603,"RT @tatakujiyati: Hujan turun, sumur resapan efektif bekerja. Sudah 1 jam, tak ada limpasan air. Lokasi: duri kosambi, cengkareng, Jakarta…"
SinarOnline,"LRA di situ terpaksa menghentikan operasi apabila kekeruhan air mentah di Sungai Bilut tinggi selepas hujan lebat - Wan Rosdy

https://t.co/9dJiQUq9Zq"
joyenjooy,"@missufe @pixxnft @PlatinCrypto @itsfreddylol @0xTrade done. bismillah ara dapet hujan bigwin💸nazar kalo ara menang GA ini,  beberapa uangnya aku GA in sama beliin mootsku album🙏🏻"
getradius_id,"Waspada, siang nanti diprediksi akan turun hujan ringan, selalu jaga kondisi yaa

#radius #trafficmalang #infotraffic #trafficupdate #ngalamupdate #ngalaminfo #infongalam #malang #infotrafficmalang #infomalang https://t.co/aT2I1RmQwQ"
1OO499,Udah 3 hari hujan...
Analisa_Gembel,"RT @NovalAssegaf: Bila hati telah keras membatu, nasihat tak lagi berguna baginya
Seperti tanan tandus, air hujan tak berguna baginya"
fumotocamp,"RT @alfamart: Semangat pagi!! 🌼🌞
Pagi hari Hujan tapi tak menyurutkan semangat Shalma untuk bermain sama Kamu nih di #KuisAlfamart terbaru…"
adm_getradius,"Waspada, siang nanti diprediksi akan turun hujan ringan, selalu jaga kondisi yaa

#radius #trafficmalang #infotraffic #trafficupdate #ngalamupdate #ngalaminfo #infongalam #malang #infotrafficmalang #infomalang https://t.co/uc5plAsRRL"
alcafa16,Hujan tidak kunjung berhenti. Teriakan bapak menjerit kesakitan. Bergegas saya ambil kunci motor dan menerobos hujan sepanjang jalan hanya di isi tangisan sambil menyebut asma Allah. Setiap rute jalan digenangi air entah berapa jalur yang saya lewati namun tetap sama.
gojekbeks,"RT @GojekOnTwitt: Banyak yang tahan performa
Banyak yang gak pentingkan performa

Yang tahan performa pasti milih off karena orderan acak-a…"
Kaiyoookai,"RT @MelianaMhely: ..pulang kemalaman, si pemuda ini ngajak k kosannya dl. Krn hujan katanya.

Sesampainya dikosan, dia memaksa untk HS, mem…"
mirahares,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
giberakata,"RT @wahananewsdotco: Hamil Tua, Ayuningsih Lari Belasan Kilometer Tembus Hujan Abu Semeru https://t.co/QDKKMFIfvK"
pinaaly,"RT @furrrrytale: Semoga harini hujan Cadbury Tart 🤤💕✨

https://t.co/Z9J6ulPkq7 https://t.co/n7YEGKkTJ1"
Polres_soppeng,"Kondisi Air yang meluap akibat intensitas hujan yang tinggi di jalan Cenrana Kel. Salokaraja Kec. Lalabata Kab. Soppeng, Selasa 07 Desember 2021.

Untuk sementara tidak dapat dilalui kendaraan roda 2.

Tetap Waspada Banjir, Salam Presisi. https://t.co/QWI2QU7iNE"
jaya_janwar,"Dirumah gw hujan dr kemaren malem sampe sekarang, tp nge push rank maaaah lancar jayaaaaaaa doonk provider @smartfrenworld   gokil beeuutt 👍👍👍 https://t.co/DJ6x0lFCxC"
adamshatubii,"RT @acaiijawe: Apa yang kurang dengan nikmat Allah hingga anda jarang mengucapkan syukur?

• Anggota tubuh badan sempurna.
• Akal sihat.
•…"
rwinsmithwife,"RT @ZOO_FESS: Zoo Berani melewati hujan untuk pulang, ntar balik lagi dia:"")

https://t.co/KjirO5TZmm
https://t.co/ixffn5omZC"
petiteshort,RT @kholikekstrada: #artoftheday spesial untuk @petiteshort di buat saat hujan belum reda 🌧 https://t.co/Ll1CwV7SiN
aliadakarm,"RT @ZOO_FESS: Zoo Berani melewati hujan untuk pulang, ntar balik lagi dia:"")

https://t.co/KjirO5TZmm
https://t.co/ixffn5omZC"
MDaffaPratama17,"Semoga hujan ini membawa berkah,, semoga dapat bigwin buat kado kk n my mom"
RadikalRomantis,"pagi dan hujan adalah awal dari kemageran.
mari lanjut rebahan."
bigwinana,Hujan 🌧️😴
Evgeniy_yeva,@tubirfess Daripada ppkm lebih efektif hujan ringan sedang seharian👌
yaudahmi,Puji Tuhan Alhamdulillah redah mi hujan utk daerah tamalanrea.. Semoga segera redah banjirnya
bayuprayogi11,"RT @myXL: Dari kemarin hujan terus, bawaannya jadi mager mau ngapa-ngapain. Bisa nih cheating makan mie rebus"
Syami14Syamil,"RT @Kusebut_namaMu: Semoga hujan yg belum juga reda, tak menyurutkan langkah para pejuang nafkah keluarga 

☕☕☕ https://t.co/xey5NwzHtg"
pijitbugil1,"RT @ts_tradisional: Selamat pagi masslovers
Pagi ini Hujan nya merata yah #Jakarta 
Sudah waktu nya musim hujan
Yang mau kerja tetap semang…"
sonygunawan86,"Hujan Voucher Blibli Histeria 12.12 dari MOHAMAD SONY GUNAWAN buat kamu! #BlibliCariTeman1212
Ambil vouchernya dan ajak teman untuk dapetin CASHBACK 100% hingga JUTAAN RUPIAH, klik link ini yuk https://t.co/iLX541f7oL"
sardiridwan78,"RT @NovalAssegaf: Bila hati telah keras membatu, nasihat tak lagi berguna baginya
Seperti tanan tandus, air hujan tak berguna baginya"
marisahanifah,"Hujan Voucher Blibli Histeria 12.12 dari marisa hanifah buat kamu! #BlibliCariTeman1212
Ambil vouchernya dan ajak teman untuk dapetin CASHBACK 100% hingga JUTAAN RUPIAH, klik link ini yuk https://t.co/7FXJqa5B5e"
RajaRizky83,"@triajaaa @aniesbaswedan Semoga Hujan Deras Nonstop
#JakartaRasaPuncak"
wanmeungji,"RT @ZOO_FESS: Zoo Berani melewati hujan untuk pulang, ntar balik lagi dia:"")

https://t.co/KjirO5TZmm
https://t.co/ixffn5omZC"
sukacoklate,"hujan ngegalau

roti dan selai"
RajaRizky83,"@EDHARIS3 @M45Broo_ Semoga Hujan Deras Nonstop
#JakartaRasaPuncak"
