user,tweet
hantoro1717,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Raden_Odhiee,"@syoffamarwa @yaniarsim @DivHumas_Polri @aniesbaswedan Lah napa di inggris kagak ada longsor? Gempa bumi? Gunung meletus? Banjir? Tsunami? Padahal negara tersebut sangat ""menjijikan"". Perilakj mereka jelas salah dan dosa tp ayo lah jngn jd Tuhan yg merasa bencana di sini karna hal2 ini,,,"
HambaAlloh1711,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
HabuJumri,Kondisi 2 hari ini Sulbar Banjir dan Longsor
murtado_zaki,"RT @murtado_zaki: sok NASIHATI rakyat untuk TANAM POHON agar tidak terjadi LONGSOR &amp; BANJIR

padahal dia yg GUNDULI HUTAN akhirnya jadi ben…"
sibatucadas,"RT @murtado_zaki: sok NASIHATI rakyat untuk TANAM POHON agar tidak terjadi LONGSOR &amp; BANJIR

padahal dia yg GUNDULI HUTAN akhirnya jadi ben…"
Naspiss1,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
MFahmii21,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
yayanbenmail,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
infotegal2,"Babinsa Ramil 10/Dukuhturi Serka Aminurhadi  melakukan pengecekan  tanggul longsor dampak Banjir pada tanggal pada hari selasa 23 November 2021.
#kodimtegal #infotegal https://t.co/plZfkTfvKu"
samienz,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Bilal81325414,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
Ismet_ckt,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
